sha,utc,attributed_to,attribution_method,files_changed,outside_auditor_scope,subject
5a34422cd1fd078aac2833f1b61a21570952a3c4,2026-05-14 18:00,UNATTRIBUTED,unattributed,1,0,Add files via upload
2f1ed6c347347864660054c26d26f571bf9c0514,2026-05-14 18:38,UNATTRIBUTED,unattributed,1,0,Checking for missing files in last site deployment (6a06155eebd6df147f6312ad)
c70a1e1f152809a1612f78c83d98ee53d6faf36c,2026-05-15 10:37,UNATTRIBUTED,unattributed,1,0,Create netlify.toml
3cd6ad7ecc9af816c8e054dad6ee1f485d97750f,2026-05-15 10:41,UNATTRIBUTED,unattributed,1,0,Create claude.mjs
0aa6303a3d9a154cc5e36e2a1d5ad23ba4ed9557,2026-05-15 11:28,UNATTRIBUTED,unattributed,1,0,Update SAIRtype_Synced.html
c69151407769b19ac345dfd08d56b7321a3529d1,2026-05-15 11:31,UNATTRIBUTED,unattributed,1,0,Update SAIRtype_Synced.html
8b3a02df547d490d7c3a896f6562dd6b54a03219,2026-05-15 13:32,UNATTRIBUTED,unattributed,1,0,Create index.html
951c00e2bf0ddc9a67ac39db17a1dbf038490d50,2026-05-15 14:10,UNATTRIBUTED,unattributed,1,0,Delete index.html
419e92cd5f16c724c0ccb6ced4ad8cf34c0faef6,2026-05-15 14:16,UNATTRIBUTED,unattributed,1,0,Add files via upload
d3376d41c44b00b2ec0b90d46b548660fce2f239,2026-05-15 19:43,UNATTRIBUTED,unattributed,1,0,Rename index.html.html to index.html
d6544bf6dbae247125d906b9e87e335af60cfc88,2026-05-15 19:49,UNATTRIBUTED,unattributed,1,0,Update index.html
8130f53715178e6ec631088e745bf64bb9a8fc68,2026-05-15 19:57,UNATTRIBUTED,unattributed,1,0,Update index.html
ec369a78f58b8f418239e63ce6f78186ddbd9160,2026-05-15 20:16,UNATTRIBUTED,unattributed,1,0,Update index.html
04e3ab30113d8acc724d3275ce9cb1e046b3805d,2026-05-15 20:27,UNATTRIBUTED,unattributed,1,0,Update index.html
74cd8ed7dc30ce5815f695dbb85fd94071d28dc3,2026-05-15 20:41,UNATTRIBUTED,unattributed,1,0,Update index.html
c52f7731fb717f7b2c43259a4255e27206cd456c,2026-05-15 21:04,UNATTRIBUTED,unattributed,1,0,Update index.html
9e9932848379046acf9f36be378aec397e59cb11,2026-05-15 21:07,UNATTRIBUTED,unattributed,1,0,Create manifest.json
fb5a4c6130fa7da4ca403130017b9955c09ee0ce,2026-05-15 21:14,UNATTRIBUTED,unattributed,2,0,Update and rename index.html to sw.js
8ff78e393fd0927bb196afd8b25b85cf124b6e9c,2026-05-15 21:18,UNATTRIBUTED,unattributed,2,0,Update and rename sw.js to index.html
145b736d39987ac70923ee53e4fc44c426bd5d8c,2026-05-15 21:24,UNATTRIBUTED,unattributed,1,0,Create sw.js
1667f3b98f3c4d0e0be985b4a27589726400c05e,2026-05-15 21:47,UNATTRIBUTED,unattributed,1,0,Create claude
9e83aa6d52f7919e859b1b910a521eae42bbb92c,2026-05-15 22:09,UNATTRIBUTED,unattributed,1,0,Delete netlify/functions directory
85340f6039b28a8a53ed3522daf3ca1b7eda9e97,2026-05-15 22:09,UNATTRIBUTED,unattributed,1,0,Delete SAIRtype_Synced.html
f5a19b6ee9812668be7196a297101eca79c891c5,2026-05-15 22:09,UNATTRIBUTED,unattributed,1,0,Delete claude
acafd57d6d937fbe86500cbf2370d66c963e1c16,2026-05-15 22:11,UNATTRIBUTED,unattributed,1,0,Delete index.html
8bad4c0c1886818e26f06e249cb7cc5d7b9d47da,2026-05-15 22:12,UNATTRIBUTED,unattributed,1,0,Delete netlify.toml
6795136736e7a6de7e738b9c2c6698f1df450686,2026-05-15 22:14,UNATTRIBUTED,unattributed,1,0,Create index.html
25f21e2111859e70068e2e713d73c364833ee2d9,2026-05-15 22:15,UNATTRIBUTED,unattributed,1,0,Create vercel.json
946d3078fe528f5f112c1af3391fdf4697bdc9f6,2026-05-15 22:17,UNATTRIBUTED,unattributed,1,0,Create claude.js
215f2c07e713cfdcc32d16e1611d9ff1f67942c3,2026-05-15 22:29,UNATTRIBUTED,unattributed,1,0,Delete api/claude.js
67044632ee112b4c36879f1f2c1d2b1d1f438fb0,2026-05-15 22:32,UNATTRIBUTED,unattributed,1,0,Create claude.js
c6bf70b9a7fd8c02ca976e266f9237398191cbb1,2026-05-16 00:17,UNATTRIBUTED,unattributed,1,0,Create SAIRN
25913ac9dfdf14eddec66a49487d8db94842a93b,2026-05-16 00:21,UNATTRIBUTED,unattributed,1,0,Update index.html
499eba0b6d933e9f8636c5801578ff932e759a97,2026-05-21 21:33,UNATTRIBUTED,unattributed,1,0,Add files via upload
63728c44750606544f70e55490108b1e0def6510,2026-05-21 22:49,UNATTRIBUTED,unattributed,16,0,Add files via upload
486c0f7ceeb4ccc74ad66d1f664960b136ff0b92,2026-05-21 22:58,UNATTRIBUTED,unattributed,16,0,Add files via upload
e3981868df5e325532f7de14245136e16bdbf3b4,2026-05-26 05:34,UNATTRIBUTED,unattributed,6,0,Add files via upload
0bd5e1e91b5ab047e74bbc9271788b964e74a97f,2026-05-26 06:11,UNATTRIBUTED,unattributed,1,0,Update index.html
c4d400b95d84070eaab7639e2f57aadf40f8bbef,2026-05-26 06:20,UNATTRIBUTED,unattributed,1,0,Update vercel.json
985f7bac612e2730e8c5e3ae2779c5564d57b704,2026-05-26 06:36,UNATTRIBUTED,unattributed,1,0,Update vercel.json
e92a26a029b0ca553e65272f0902d05002e01a60,2026-05-26 06:37,UNATTRIBUTED,unattributed,1,0,Update vercel.json
236a3454fb7c7e9dcaef1892db18cca3ce699edb,2026-05-26 06:43,UNATTRIBUTED,unattributed,0,0,Add files via upload
28e9bf2d0aeff8c7c405bc3c2e85026213caa112,2026-05-26 06:48,UNATTRIBUTED,unattributed,1,0,Update mind.html
f8d7eb745e674cdff23af96f89478fdcfeb6ca36,2026-05-26 06:57,UNATTRIBUTED,unattributed,0,0,Update vercel.json
918f00d59689bf3a7c5c301724a76b153983c264,2026-05-26 21:04,UNATTRIBUTED,unattributed,3,0,Add files via upload
03daad4a120680f0708201f561bf3d0675b60191,2026-05-26 21:31,UNATTRIBUTED,unattributed,32,0,Add files via upload
077c0897a71de35f9e4593597fa899c64213633f,2026-05-26 23:33,UNATTRIBUTED,unattributed,1,0,Update vercel.json
fba29c9fb431287b36c0417082a742027a927de2,2026-05-27 01:44,UNATTRIBUTED,unattributed,1,0,Update claude.js
bbfc9ae8c5a8273b0271616d05d76997b96b2e5b,2026-05-27 01:59,UNATTRIBUTED,unattributed,1,0,Update vercel.json
12324c37c4eba2e9adbc9b5e840ab306424d0f20,2026-05-27 02:09,UNATTRIBUTED,unattributed,1,0,Update vercel.json
276b435e6fcd5195348f8ff6ef9adb313a76d08a,2026-05-27 02:23,UNATTRIBUTED,unattributed,1,0,Update vercel.json
c9725443dcb541afb2ada6b19f64bd3b6ec7c542,2026-05-27 10:14,UNATTRIBUTED,unattributed,1,0,Add files via upload
6a386a60e56e7a0b2ecece1cfaf55486af6e1d51,2026-05-27 10:15,UNATTRIBUTED,unattributed,10,0,Add files via upload
8bf0794d8de2e4797694e2f08db4baf3026076b4,2026-05-27 10:32,UNATTRIBUTED,unattributed,0,0,Add files via upload
f3a2e8b175138b32a0d2b397bffd135c5d72f376,2026-05-27 10:48,UNATTRIBUTED,unattributed,19,0,Add files via upload
5277ec3741964877eb7d88b88eb3313f05200bd0,2026-05-27 11:17,UNATTRIBUTED,unattributed,18,0,Add files via upload
7e331e612183d38d78abbe605817ae8fa929fd76,2026-05-27 11:38,UNATTRIBUTED,unattributed,1,0,Update mind.html
09a11f093c83c5e1c272b3f34c81b9b4c69a0a3e,2026-05-27 11:51,UNATTRIBUTED,unattributed,24,0,Add files via upload
593aad70e0964df8eba10bd37191f8e6a7c4bc1f,2026-05-27 12:35,UNATTRIBUTED,unattributed,0,0,Add files via upload
dd335f0d27d78dc3f269cd24840e4fdccffb2b08,2026-05-27 12:38,UNATTRIBUTED,unattributed,0,0,Add files via upload
cc8ec946aaaa07277868036dd1e69a81a9d6a161,2026-05-27 12:55,UNATTRIBUTED,unattributed,1,0,Update mind.html
042e4a7b1181b267af26c858e5b623ce30a45f52,2026-05-27 13:10,UNATTRIBUTED,unattributed,1,0,Update vercel.json
0b5c6b6d62c25a3ef31109f4e3d24b103ca22a08,2026-05-27 13:35,UNATTRIBUTED,unattributed,1,0,Update claude.js
ebd4048a3a3882fedca1090f9937320464926dd3,2026-05-27 13:55,UNATTRIBUTED,unattributed,1,0,Add files via upload
d9abca4e27740ccc7e37865a011e524e230cf2aa,2026-05-27 14:13,UNATTRIBUTED,unattributed,1,0,Create sairn_quality_check.yml
934dde29ec36a50d158fb695bf95508cec7b9ecd,2026-05-27 14:17,UNATTRIBUTED,unattributed,1,0,Create validate.py
bc39e2ffbc943e3b925bc7f272dfe1d623cfbf93,2026-05-27 14:24,UNATTRIBUTED,unattributed,1,0,Update validate.py
edeca98987baf76dcdc467a4681939d1e38823ca,2026-05-27 14:28,UNATTRIBUTED,unattributed,1,0,Create lint.py
e5d5ec1a19b4e1d37f62597890ec0330bc677296,2026-05-27 14:57,UNATTRIBUTED,unattributed,1,0,Create validate.py
fdc36c510df596f41093484ba4a1b8057360adf3,2026-05-27 15:00,UNATTRIBUTED,unattributed,1,0,Create validate.py
1d2c81f256f7ebb77894e0b8fad948ece07051ba,2026-05-27 15:04,UNATTRIBUTED,unattributed,1,0,Create lint.py
d5bb38266d94117dff78b8cd2b7f636d393b9f94,2026-05-27 15:25,UNATTRIBUTED,unattributed,26,0,Add files via upload
34c2e0d8740fc7c97cb3e849e2e0aa42e9e13d49,2026-05-27 15:37,UNATTRIBUTED,unattributed,1,0,Update claude.js
8b29edae9e81364e5d4579d61d382bb286a7c850,2026-05-27 15:48,UNATTRIBUTED,unattributed,1,0,Update claude.js
c762678057058916a9a0e8da975923cf1072ad05,2026-05-27 20:39,UNATTRIBUTED,unattributed,1,0,Update vercel.json
bcd844ab8644badcf0c19ccd06b61f33649d5680,2026-05-27 20:47,UNATTRIBUTED,unattributed,1,0,Update package.json
2f740c19eec3916c244a42414383b0a2b9756ac4,2026-05-27 21:00,UNATTRIBUTED,unattributed,1,0,Update claude.js
7f8cddd8bb41fda326e7e3b8bbcddbacfc6c95d5,2026-05-27 21:20,UNATTRIBUTED,unattributed,0,0,Update claude.js
0bca600b18a55a4f891627f92db33ef643e078ad,2026-05-28 01:23,UNATTRIBUTED,unattributed,12,0,Add files via upload
10a8821ac7e6603bb0fdb05f9c0ba803aced3a13,2026-05-28 06:21,UNATTRIBUTED,unattributed,0,0,Add files via upload
2c30d32a181aebd75d18bf101398812736bd4506,2026-05-28 06:31,UNATTRIBUTED,unattributed,1,0,Update health.html
7c4cbc1c9362463608b58fc22cd71746889e759f,2026-05-28 06:40,UNATTRIBUTED,unattributed,1,0,Update health.html
0f132306190f0b8e3213a999ecd68730d4169e30,2026-05-28 06:47,UNATTRIBUTED,unattributed,23,0,Add files via upload
2cd67196282f0c2980d1a1bca1f04d650255bc4f,2026-05-28 07:13,UNATTRIBUTED,unattributed,25,0,Add files via upload
9ea6a7dab690949fbac1bf79803efb64d1a2cbbf,2026-05-28 07:23,UNATTRIBUTED,unattributed,25,0,Add files via upload
09839ba7cfd136075db58a709db017e784f0dfe6,2026-05-28 07:31,UNATTRIBUTED,unattributed,17,0,Add files via upload
78d03ac9b8186df8400c24443f138471f4053a39,2026-05-28 07:43,UNATTRIBUTED,unattributed,1,0,Update sairniq.html
7d47ce4e1838dc216b28fdf197401454d5545c95,2026-05-28 08:14,UNATTRIBUTED,unattributed,7,0,Add files via upload
445e7d0ee853ae5aa8e5673fa8e1fb389c017247,2026-05-28 08:25,UNATTRIBUTED,unattributed,6,0,Add files via upload
16a410c383e61f635de51ce47c723cd21253f1a6,2026-05-28 08:32,UNATTRIBUTED,unattributed,6,0,Add files via upload
17b89761115dd5cb88afafd5e607eabeb6681364,2026-05-28 11:58,UNATTRIBUTED,unattributed,1,0,Add files via upload
2f4a0f47a3579b775979b3a903eb34b7df09bf23,2026-05-28 12:02,UNATTRIBUTED,unattributed,1,0,Update vercel.json
be82cd7ec79229285c8af09008727a4c32edbd43,2026-05-28 12:25,UNATTRIBUTED,unattributed,1,0,Update sairnlearn.html
e324f7921afb57ae4282124e98d3c3b40b58fecb,2026-05-28 16:35,UNATTRIBUTED,unattributed,1,0,Add files via upload
d94fd223c0d1f19aa0ec332e0d6d756977f17813,2026-05-28 16:37,UNATTRIBUTED,unattributed,1,0,Update vercel.json
b13ad0235b261781559eefafd62231fd484a329c,2026-05-28 16:39,UNATTRIBUTED,unattributed,1,0,Update vercel.json
8963fa07a12378edc60319f86a3782d4829a89ee,2026-05-28 16:41,UNATTRIBUTED,unattributed,1,0,Update vercel.json
55aa3c0e76e3451018291919ec2833bef8bf58ae,2026-05-28 23:26,UNATTRIBUTED,unattributed,8,0,Add files via upload
29cb89e574853337ed42ee2489cbade7253b1ca7,2026-05-31 23:51,UNATTRIBUTED,unattributed,1,0,Update sairnlaw.html
5d9ee5b25c1a903c059d37c85b974f4c037f31f9,2026-05-31 23:57,UNATTRIBUTED,unattributed,1,0,Update sairnlaw.html
615fff8add76db13957513a99f83f0025246963b,2026-06-01 00:03,UNATTRIBUTED,unattributed,1,0,Add files via upload
e1bb33de50f193958adec1d7d07b851a1837e614,2026-06-01 00:55,UNATTRIBUTED,unattributed,1,0,Add files via upload
3c8b0cb6a2debadaf97523af44c58b66e42c63da,2026-06-01 10:34,UNATTRIBUTED,unattributed,1,0,Update sairnlaw.html
b65bcb2d9250cdd253ed073100b265d79f1548f2,2026-06-01 11:30,UNATTRIBUTED,unattributed,19,0,Add files via upload
70e4d789b5bbe8235b0af92c8993e5e4f5706d2c,2026-06-01 11:36,UNATTRIBUTED,unattributed,2,0,Add files via upload
2fb47c071c57683db5b4234adfbb381d5c0418d1,2026-06-01 11:56,UNATTRIBUTED,unattributed,1,0,Add files via upload
a2aaa3b650b0b4c4003ddaef439f87725970fc8e,2026-06-01 11:57,UNATTRIBUTED,unattributed,0,0,Add files via upload
de32534f898d8fce62dcf8179ee0825ae1ff233c,2026-06-01 12:18,UNATTRIBUTED,unattributed,3,0,Add files via upload
1fbbaab40db386f37f865312ec49c241c8b3436a,2026-06-01 12:19,UNATTRIBUTED,unattributed,0,0,Add files via upload
24324a028335bd7f685903d8618c1ca2f397e836,2026-06-02 01:22,UNATTRIBUTED,unattributed,3,0,Add files via upload
b001e9b7876efeed2c8ac8c4f7769c3d65b70ce0,2026-06-02 01:24,UNATTRIBUTED,unattributed,0,0,Add files via upload
2efc8d062c6728cf3b23f6a4b10fe559ae45e4e9,2026-06-02 01:54,UNATTRIBUTED,unattributed,7,0,Add files via upload
5e7de34ece4037d71f3bd1a2a1e395aa4cb43485,2026-06-02 02:15,UNATTRIBUTED,unattributed,3,0,Add files via upload
cee20c5dd77ff5807afadd6c688e188ce5b8fcb2,2026-06-02 02:17,UNATTRIBUTED,unattributed,0,0,Add files via upload
102255449e77d559b2a7b588bc25c4939ba22484,2026-06-02 02:29,UNATTRIBUTED,unattributed,1,0,Update vercel.json
a53d290de2a953662eb8d35d335b9b3dc1a691a2,2026-06-02 12:09,UNATTRIBUTED,unattributed,35,0,Add files via upload
6c76ca6c08cbdae362e6591a04203208b1168e72,2026-06-02 12:11,UNATTRIBUTED,unattributed,1,0,Add files via upload
ac3108b83c4193d6a2364ee5e8f96857487a4dfd,2026-06-02 12:45,UNATTRIBUTED,unattributed,0,0,Add files via upload
